Marker,Chr,Col Phys Pos,Gen. Pos (LargeMap)
NGA129,5,20133116,59.061
NGA151,5,4669932,15.232
At2g22200,2,9444000,44.442
AthCDPK9,5,7952515,23.139
C1_10083980,1,10083980,35.163
C1_10238815,1,10238815,32.89
C1_103654,1,103654,3.271
C1_10373433,1,10373433,34.309
C1_10583233,1,10583233,34.738
C1_10796568,1,10796568,36.62
C1_11017860,1,11017860,36.37
C1_11048403,1,11048403,36.401
C1_11160069,1,11160069,37.079
C1_11213954,1,11213954,39.911
C1_11252814,1,11252814,37.661
C1_11326653,1,11326653,38.155
C1_11448942,1,11448942,39.508
C1_11579055,1,11579055,40.179
C1_11655627,1,11655627,40.907
C1_11715619,1,11715619,40.692
C1_1179960,1,1179960,8.371
C1_11872423,1,11872423,41.859
C1_12078977,1,12078977,40.445
C1_12131853,1,12131853,42.522
C1_12173075,1,12173075,43.371
C1_12245075,1,12245075,42.631
C1_12259925,1,12259925,42.11
C1_12368713,1,12368713,44.734
C1_12438806,1,12438806,43.757
C1_12453530,1,12453530,44.225
C1_1247888,1,1247888,8.883
C1_12528613,1,12528613,44.413
C1_12571698,1,12571698,44.483
C1_12647368,1,12647368,44.985
C1_12696435,1,12696435,44.641
C1_12958141,1,12958141,46.275
C1_13005644,1,13005644,46.031
C1_13066244,1,13066244,46.76
C1_13214705,1,13214705,47.373
C1_13364618,1,13364618,47.977
C1_1375096,1,1375096,9.081
C1_13770945,1,13770945,53.102
C1_14159963,1,14159963,48.515
C1_1484443,1,1484443,9.009
C1_148601,1,148601,2.45
C1_1506257,1,1506257,9.369
C1_15969439,1,15969439,48.69
C1_1603770,1,1603770,11.2
C1_16295560,1,16295560,48.897
C1_16469234,1,16469234,49.401
C1_16588417,1,16588417,49.294
C1_16644717,1,16644717,49.286
C1_16734993,1,16734993,49.96
C1_16809188,1,16809188,49.877
C1_16875351,1,16875351,49.855
C1_17248922,1,17248922,50.963
C1_17296570,1,17296570,52.057
C1_17397760,1,17397760,51.559
C1_17431654,1,17431654,51.717
C1_17497406,1,17497406,51.828
C1_17598014,1,17598014,51.72
C1_17800536,1,17800536,54.097
C1_17857806,1,17857806,55.285
C1_18114664,1,18114664,53.854
C1_18377853,1,18377853,55.741
C1_18501704,1,18501704,57.572
C1_18587620,1,18587620,56.509
C1_18641547,1,18641547,56.123
C1_18742503,1,18742503,57.346
C1_18753441,1,18753441,57.425
C1_18903091,1,18903091,56.978
C1_18908099,1,18908099,56.227
C1_18954473,1,18954473,57.09
C1_19073264,1,19073264,58.23
C1_1915228,1,1915228,10.966
C1_19169769,1,19169769,58.383
C1_19187615,1,19187615,58.751
C1_19229480,1,19229480,58.534
C1_19325281,1,19325281,60.267
C1_19437232,1,19437232,58.635
C1_19437857,1,19437857,60.46
C1_19516484,1,19516484,59.905
C1_19584168,1,19584168,61.442
C1_19856381,1,19856381,61.967
C1_20139143,1,20139143,60.934
C1_20334612,1,20334612,62.531
C1_2033739,1,2033739,10.744
C1_20532842,1,20532842,62.483
C1_20681328,1,20681328,64.473
C1_20927181,1,20927181,65.456
C1_21416160,1,21416160,67.059
C1_21426785,1,21426785,67.29
C1_21578242,1,21578242,67.558
C1_21654972,1,21654972,66.266
C1_21736129,1,21736129,67.699
C1_21905423,1,21905423,67.99
C1_21981092,1,21981092,66.615
C1_22021788,1,22021788,68.372
C1_22101223,1,22101223,68.95
C1_22174649,1,22174649,69.806
C1_22176743,1,22176743,70.977
C1_2222545,1,2222545,11.104
C1_22238945,1,22238945,70.464
C1_22362362,1,22362362,70.239
C1_22569225,1,22569225,70.81
C1_22571726,1,22571726,69.299
C1_22679925,1,22679925,72.064
C1_22968132,1,22968132,72.468
C1_22970466,1,22970466,71.631
C1_23077043,1,23077043,71.224
C1_23275819,1,23275819,71.85
C1_23299350,1,23299350,71.35
C1_23318972,1,23318972,73.039
C1_23423667,1,23423667,74.018
C1_23656375,1,23656375,74.588
C1_23842498,1,23842498,75.666
C1_23883532,1,23883532,73.426
C1_23998235,1,23998235,75.352
C1_2401827,1,2401827,11.418
C1_24030248,1,24030248,76.275
C1_24074876,1,24074876,77.263
C1_24128167,1,24128167,76.611
C1_24225674,1,24225674,77.228
C1_24316033,1,24316033,76.428
C1_24443814,1,24443814,78.142
C1_24460267,1,24460267,77.72
C1_24574781,1,24574781,78.825
C1_24690872,1,24690872,81.213
C1_24717289,1,24717289,80.864
C1_2472487,1,2472487,13.372
C1_24727113,1,24727113,82.603
C1_25080434,1,25080434,82.269
C1_25175851,1,25175851,81.805
C1_25237380,1,25237380,82.984
C1_2524207,1,2524207,13.053
C1_25305341,1,25305341,83.704
C1_25340109,1,25340109,86.084
C1_25500148,1,25500148,85.616
C1_25589166,1,25589166,85.666
C1_25763886,1,25763886,87.834
C1_25904559,1,25904559,88.298
C1_26026938,1,26026938,88.67
C1_26047779,1,26047779,88.697
C1_26232300,1,26232300,88.993
C1_26318713,1,26318713,92.009
C1_26439599,1,26439599,91.415
C1_26446396,1,26446396,91.775
C1_26478389,1,26478389,92.961
C1_26623284,1,26623284,93.975
C1_26800918,1,26800918,93.905
C1_26890508,1,26890508,94.159
C1_27028293,1,27028293,94.454
C1_27090386,1,27090386,95.173
C1_27141059,1,27141059,94.929
C1_27386186,1,27386186,95.86
C1_27534717,1,27534717,96.302
C1_27723333,1,27723333,97.074
C1_27879038,1,27879038,96.559
C1_28255729,1,28255729,96.736
C1_28379463,1,28379463,97.576
C1_28480066,1,28480066,97.424
C1_28557090,1,28557090,97.634
C1_28791009,1,28791009,98.389
C1_28844794,1,28844794,98.669
C1_28971592,1,28971592,99.482
C1_29018816,1,29018816,98.142
C1_29408588,1,29408588,99.16
C1_29477011,1,29477011,111.87
C1_29499087,1,29499087,100.74
C1_29621807,1,29621807,100.622
C1_29789967,1,29789967,100.403
C1_30266090,1,30266090,100.982
C1_30317965,1,30317965,101.157
C1_3328240,1,3328240,13.309
C1_3355726,1,3355726,13.68
C1_3441367,1,3441367,13.747
C1_3868089,1,3868089,14.257
C1_3890327,1,3890327,14.404
C1_3899681,1,3899681,14.049
C1_4140988,1,4140988,15.677
C1_4327315,1,4327315,15.979
C1_4500439,1,4500439,15.887
C1_4605494,1,4605494,16.099
C1_4617576,1,4617576,16.239
C1_4833319,1,4833319,16.709
C1_4936581,1,4936581,17.247
C1_5157747,1,5157747,17.587
C1_5242029,1,5242029,17.518
C1_5269660,1,5269660,18.281
C1_5693045,1,5693045,17.813
C1_571420,1,571420,2.08
C1_578991,1,578991,8.553
C1_6109358,1,6109358,18.174
C1_6315998,1,6315998,17.974
C1_6381088,1,6381088,19.207
C1_6572582,1,6572582,19.478
C1_6629642,1,6629642,20.438
C1_6761513,1,6761513,19.944
C1_6839609,1,6839609,20.155
C1_6905708,1,6905708,20.95
C1_7110071,1,7110071,21.579
C1_7194849,1,7194849,21.357
C1_7254045,1,7254045,22.171
C1_7316195,1,7316195,22.766
C1_736996,1,736996,2.808
C1_7412044,1,7412044,23.446
C1_7453099,1,7453099,21.963
C1_7499355,1,7499355,23.996
C1_7667369,1,7667369,24.422
C1_7812639,1,7812639,24.747
C1_7928543,1,7928543,25.43
C1_8128648,1,8128648,25.942
C1_8326355,1,8326355,26.909
C1_8426304,1,8426304,28.08
C1_8564912,1,8564912,27.202
C1_8714544,1,8714544,28.386
C1_9074224,1,9074224,28.66
C1_9358075,1,9358075,29.56
C1_9583475,1,9583475,31.684
C1_9768855,1,9768855,33.233
C1_9981308,1,9981308,33.785
C1_9999988,1,9999988,33.503
C2_10014883,2,10014883,47.111
C2_10046161,2,10046161,46.603
C2_10121197,2,10121197,46.72
C2_10265228,2,10265228,47.411
C2_10356638,2,10356638,48.849
C2_10394880,2,10394880,48.144
C2_10438650,2,10438650,48.846
C2_10438749,2,10438749,49.165
C2_10709402,2,10709402,48.487
C2_10888438,2,10888438,49.816
C2_11070871,2,11070871,50.17
C2_11200483,2,11200483,50.379
C2_11334521,2,11334521,51.599
C2_11491913,2,11491913,51.137
C2_11626513,2,11626513,50.832
C2_11743584,2,11743584,52.19
C2_11747780,2,11747780,50.711
C2_1182733,2,1182733,17.909
C2_11930850,2,11930850,51.95
C2_11975142,2,11975142,52.383
C2_12037234,2,12037234,53.871
C2_12230207,2,12230207,54.605
C2_12509560,2,12509560,55.269
C2_12636165,2,12636165,55.656
C2_12705676,2,12705676,56.007
C2_1290036,2,1290036,17.985
C2_129193,2,129193,6.37
C2_12924267,2,12924267,58.138
C2_13090523,2,13090523,58.659
C2_13341906,2,13341906,60.134
C2_13460251,2,13460251,60.643
C2_1364552,2,1364552,17.584
C2_13718040,2,13718040,61.133
C2_13843994,2,13843994,60.307
C2_1399936,2,1399936,18.189
C2_14225171,2,14225171,61.297
C2_14237161,2,14237161,61.672
C2_14265778,2,14265778,61.446
C2_14278009,2,14278009,60.398
C2_14396709,2,14396709,60.902
C2_1445535,2,1445535,20.917
C2_14655068,2,14655068,62.477
C2_146719,2,146719,3.529
C2_1470766,2,1470766,18.453
C2_14750326,2,14750326,62.027
C2_14770433,2,14770433,62.03
C2_14918775,2,14918775,61.92
C2_14937406,2,14937406,61.831
C2_15274430,2,15274430,64.435
C2_15330710,2,15330710,62.183
C2_15425844,2,15425844,65.276
C2_15504760,2,15504760,65.382
C2_15626704,2,15626704,66.708
C2_15837508,2,15837508,66.913
C2_16189680,2,16189680,67.156
C2_16318564,2,16318564,69.018
C2_16392237,2,16392237,67.857
C2_1640814,2,1640814,21.135
C2_16561660,2,16561660,67.367
C2_16723767,2,16723767,68.828
C2_16892399,2,16892399,69.426
C2_16905902,2,16905902,67.53
C2_16916847,2,16916847,69.454
C2_17106201,2,17106201,69.874
C2_171208,2,171208,6.103
C2_17291703,2,17291703,70.181
C2_18053734,2,18053734,70.687
C2_18135222,2,18135222,71.125
C2_18220776,2,18220776,70.889
C2_18493344,2,18493344,72.364
C2_18611594,2,18611594,71.964
C2_18631639,2,18631639,72.013
C2_18708968,2,18708968,72.723
C2_18912815,2,18912815,73.694
C2_19077394,2,19077394,74.153
C2_19207057,2,19207057,73.348
C2_19267581,2,19267581,73.46
C2_19273506,2,19273506,73.103
C2_19520837,2,19520837,73.205
C2_1985132,2,1985132,23.685
C2_2008263,2,2008263,22.858
C2_2021779,2,2021779,23.965
C2_2145745,2,2145745,24.804
C2_220022,2,220022,3.81
C2_2205375,2,2205375,24.283
C2_2257106,2,2257106,24.479
C2_2368145,2,2368145,24.597
C2_2445367,2,2445367,26.065
C2_271096,2,271096,8.489
C2_2860388,2,2860388,30.533
C2_3027446,2,3027446,25.178
C2_376511,2,376511,9.17
C2_3995962,2,3995962,7.542
C2_4066448,2,4066448,25.551
C2_4150835,2,4150835,25.518
C2_4158127,2,4158127,15.795
C2_4294074,2,4294074,25.084
C2_4685148,2,4685148,25.308
C2_4811669,2,4811669,25.99
C2_4826472,2,4826472,23.154
C2_5281237,2,5281237,25.929
C2_5665389,2,5665389,26.771
C2_5782418,2,5782418,27.352
C2_584278,2,584278,10.341
C2_5956563,2,5956563,27.071
C2_610949,2,610949,12.713
C2_6122052,2,6122052,15.009
C2_6242269,2,6242269,27.91
C2_6311417,2,6311417,28.402
C2_6360523,2,6360523,28.792
C2_6452415,2,6452415,31.273
C2_6504138,2,6504138,29.891
C2_6512057,2,6512057,29.676
C2_653473,2,653473,13.26
C2_6651987,2,6651987,29.958
C2_6713259,2,6713259,29.76
C2_6831885,2,6831885,29.455
C2_6997430,2,6997430,30.991
C2_7030905,2,7030905,31.108
C2_7133776,2,7133776,31.887
C2_717736,2,717736,13.501
C2_7308497,2,7308497,31.682
C2_7328352,2,7328352,32.955
C2_73452,2,73452,4.671
C2_7408993,2,7408993,34.243
C2_7425903,2,7425903,33.973
C2_7486509,2,7486509,34.017
C2_751188,2,751188,14.126
C2_7526105,2,7526105,35.182
C2_7607814,2,7607814,35.795
C2_7652823,2,7652823,35.263
C2_7798665,2,7798665,36.342
C2_7894918,2,7894918,36.933
C2_7911815,2,7911815,36.946
C2_7947930,2,7947930,37.367
C2_7947987,2,7947987,36.619
C2_8004125,2,8004125,39.666
C2_805047,2,805047,17.175
C2_8071676,2,8071676,38.344
C2_808690,2,808690,13.841
C2_8141920,2,8141920,38.718
C2_8313596,2,8313596,39.887
C2_8417083,2,8417083,40.54
C2_8540827,2,8540827,39.069
C2_8620417,2,8620417,41.504
C2_8667304,2,8667304,41.425
C2_8746594,2,8746594,41.343
C2_8790002,2,8790002,41.145
C2_8857547,2,8857547,42.386
C2_8882385,2,8882385,43.055
C2_8995275,2,8995275,43.363
C2_9044852,2,9044852,43.396
C2_9048975,2,9048975,43.699
C2_9106430,2,9106430,42.977
C2_9171125,2,9171125,42.752
C2_925444,2,925444,17.027
C2_9366688,2,9366688,43.907
C2_9506353,2,9506353,44.888
C2_9529822,2,9529822,42.101
C2_9585391,2,9585391,45.191
C2_9654778,2,9654778,44.983
C2_9721752,2,9721752,46.258
C2_9820793,2,9820793,46.368
C3_10040608,3,10040608,41.448
C3_10085922,3,10085922,42.763
C3_10157384,3,10157384,44.641
C3_10203694,3,10203694,44.092
C3_10250478,3,10250478,43.716
C3_10332905,3,10332905,45.062
C3_10435231,3,10435231,44.404
C3_10531612,3,10531612,46.283
C3_10545141,3,10545141,45.467
C3_10808061,3,10808061,45.739
C3_10918909,3,10918909,47.085
C3_10941009,3,10941009,47.688
C3_11020079,3,11020079,48.113
C3_11119765,3,11119765,50.066
C3_11311504,3,11311504,51.701
C3_11364272,3,11364272,52.07
C3_11427757,3,11427757,51.85
C3_11571722,3,11571722,52.981
C3_1168987,3,1168987,9.762
C3_11833948,3,11833948,52.624
C3_11920382,3,11920382,53.221
C3_12021844,3,12021844,53.873
C3_12674068,3,12674068,52.763
C3_1332512,3,1332512,9.691
C3_13353838,3,13353838,51.068
C3_14093267,3,14093267,52.501
C3_1426723,3,1426723,11.071
C3_14781375,1,14781375,45.589
C3_14972583,3,14972583,53.361
C3_15006106,3,15006106,53.418
C3_15011896,3,15011896,54.339
C3_15194862,3,15194862,53.386
C3_15414721,3,15414721,50.65
C3_15695300,3,15695300,52.819
C3_15889983,3,15889983,55.744
C3_16001509,3,16001509,56.072
C3_16001979,3,16001979,56.432
C3_16390427,3,16390427,57.043
C3_1646322,3,1646322,10.464
C3_16475060,3,16475060,56.237
C3_16512050,3,16512050,56.902
C3_16630413,3,16630413,57.6
C3_16681121,3,16681121,56.6
C3_16836255,3,16836255,57.693
C3_16860212,3,16860212,57.617
C3_16890875,3,16890875,58.529
C3_16998392,3,16998392,58.992
C3_17131928,3,17131928,59.957
C3_17176464,3,17176464,59.735
C3_17195126,3,17195126,60.535
C3_17263959,3,17263959,59.39
C3_17373739,3,17373739,60.311
C3_17609487,3,17609487,60.259
C3_17686476,3,17686476,60.617
C3_17725797,3,17725797,60.936
C3_17794297,3,17794297,60.825
C3_17844415,3,17844415,61.599
C3_17909819,3,17909819,61.227
C3_17942649,3,17942649,61.892
C3_18158153,3,18158153,62.18
C3_1820035,3,1820035,11.451
C3_18223308,3,18223308,62.258
C3_18347762,3,18347762,63.117
C3_18396211,3,18396211,62.665
C3_1847486,3,1847486,11.725
C3_18563321,3,18563321,64.603
C3_18638749,3,18638749,65.958
C3_18683077,3,18683077,66.474
C3_18804321,3,18804321,66.316
C3_18864843,3,18864843,69.073
C3_18891850,3,18891850,69.139
C3_18971527,3,18971527,66.824
C3_19144551,3,19144551,69.471
C3_19161491,3,19161491,67.254
C3_19280300,3,19280300,69.928
C3_19476604,3,19476604,68.608
C3_19590050,3,19590050,69.757
C3_19655485,3,19655485,71.272
C3_1982523,3,1982523,11.57
C3_19825573,3,19825573,71.526
C3_19902009,3,19902009,71.719
C3_20004307,3,20004307,71.845
C3_20046629,3,20046629,73.521
C3_20092575,3,20092575,73.254
C3_20197905,3,20197905,73.812
C3_20316245,3,20316245,73.074
C3_20457147,3,20457147,74.341
C3_20627042,3,20627042,74.695
C3_20742904,3,20742904,74.68
C3_20876948,3,20876948,75.902
C3_20917709,3,20917709,76.199
C3_21031827,3,21031827,75.655
C3_21185558,3,21185558,76.432
C3_21548896,3,21548896,76.616
C3_21764868,3,21764868,77.831
C3_2180846,3,2180846,12.004
C3_21828420,3,21828420,76.913
C3_21831500,3,21831500,76.745
C3_22081936,3,22081936,77.255
C3_22293827,3,22293827,77.134
C3_22490170,3,22490170,77.166
C3_2255736,3,2255736,12.354
C3_22557391,3,22557391,70.48
C3_22572933,3,22572933,65.443
C3_22582981,3,22582981,72.663
C3_22641821,3,22641821,77.033
C3_22907596,3,22907596,77.801
C3_23027923,3,23027923,78.219
C3_23167454,3,23167454,78.895
C3_23243378,3,23243378,78.512
C3_23288244,3,23288244,79.075
C3_23319286,3,23319286,79.399
C3_23403229,3,23403229,79.257
C3_2365427,3,2365427,12.877
C3_2497708,3,2497708,13.192
C3_291385,3,291385,6.143
C3_3234136,3,3234136,13.394
C3_3398270,3,3398270,14.882
C3_3623963,3,3623963,15.001
C3_3751938,3,3751938,14.984
C3_3816439,3,3816439,16.13
C3_3817585,3,3817585,14.301
C3_3884889,3,3884889,15.484
C3_4075519,3,4075519,15.297
C3_4157786,3,4157786,15.97
C3_4335275,3,4335275,16.361
C3_434943,3,434943,5.66
C3_4540473,3,4540473,16.579
C3_4648688,3,4648688,17.876
C3_4988614,3,4988614,19.602
C3_5022617,3,5022617,17.313
C3_5078027,3,5078027,17.512
C3_5104500,3,5104500,17.306
C3_5284817,3,5284817,7.093
C3_5333186,3,5333186,18.428
C3_5364027,3,5364027,18.743
C3_5382797,3,5382797,19.929
C3_5385684,3,5385684,19.216
C3_5457918,3,5457918,19.205
C3_5631875,3,5631875,18.984
C3_5910072,3,5910072,21.096
C3_6011884,3,6011884,20.879
C3_6140595,3,6140595,23.34
C3_614961,3,614961,5.892
C3_6231641,3,6231641,21.603
C3_6342492,3,6342492,22.552
C3_6497728,3,6497728,22.377
C3_6548423,3,6548423,22.947
C3_6736628,3,6736628,23.198
C3_6822360,3,6822360,24.41
C3_7046389,3,7046389,24.286
C3_7108743,3,7108743,24.113
C3_715448,3,715448,6.281
C3_7316050,3,7316050,24.648
C3_7478226,3,7478226,27.343
C3_7514637,3,7514637,27.507
C3_7601825,3,7601825,28.49
C3_7749714,3,7749714,28.076
C3_7916975,3,7916975,29.242
C3_7970550,3,7970550,29.668
C3_7990182,3,7990182,30.058
C3_8116100,3,8116100,30.894
C3_8195579,3,8195579,31.311
C3_8206469,3,8206469,31.618
C3_824783,3,824783,9.377
C3_8368547,3,8368547,32.355
C3_8440916,3,8440916,33.417
C3_8679453,3,8679453,35.281
C3_8863210,3,8863210,35.071
C3_8916208,3,8916208,34.777
C3_8946008,3,8946008,34.906
C3_9012678,3,9012678,35.983
C3_9049960,3,9049960,36.536
C3_931430,3,931430,10.114
C3_9337327,3,9337327,36.319
C3_9339676,3,9339676,36.891
C3_9399580,3,9399580,37.143
C3_9430822,3,9430822,37.576
C3_9501499,3,9501499,37.984
C3_9512024,3,9512024,38.481
C3_9623043,3,9623043,38.86
C3_9623868,3,9623868,40.038
C3_9625382,3,9625382,43.208
C3_9655273,3,9655273,39.184
C3_9833012,3,9833012,39.597
C3_9981431,3,9981431,41.347
C4_10088301,4,10088301,47.131
C4_10093909,4,10093909,47.735
C4_1026382,4,1026382,15.572
C4_10407351,4,10407351,48.893
C4_10506392,4,10506392,48.407
C4_10569729,4,10569729,48.573
C4_10656569,4,10656569,49.108
C4_10806777,4,10806777,49.948
C4_109134,4,109134,6.69
C4_10929802,4,10929802,49.252
C4_11028384,4,11028384,48.799
C4_11274696,4,11274696,49.567
C4_11338567,4,11338567,51.512
C4_11367018,4,11367018,51.689
C4_11638984,4,11638984,53.965
C4_11731431,4,11731431,54.051
C4_1176417,4,1176417,17.239
C4_12178057,4,12178057,55.834
C4_12244569,4,12244569,55.615
C4_12285366,4,12285366,55.697
C4_12642999,4,12642999,56.915
C4_12794423,4,12794423,56.999
C4_12841813,4,12841813,57.573
C4_1295996,4,1295996,20.331
C4_13033934,4,13033934,57.709
C4_13459120,4,13459120,59.221
C4_13766298,4,13766298,58.924
C4_13960693,4,13960693,59.655
C4_1398233,4,1398233,20.079
C4_14061988,4,14061988,60.653
C4_14077224,4,14077224,59.727
C4_1416972,4,1416972,19.862
C4_14208968,4,14208968,60.305
C4_14353186,4,14353186,60.388
C4_1441368,4,1441368,22.034
C4_14500253,4,14500253,61.943
C4_14570182,4,14570182,62.132
C4_14616423,4,14616423,61.764
C4_14641839,4,14641839,63.73
C4_14773912,4,14773912,64.232
C4_1506869,4,1506869,22.696
C4_1523208,4,1523208,22.353
C4_15290929,4,15290929,65.925
C4_15468948,4,15468948,66.314
C4_15691681,4,15691681,66.492
C4_15737310,4,15737310,67.021
C4_1599938,4,1599938,22.611
C4_16227364,4,16227364,67.078
C4_16257723,4,16257723,66.799
C4_16369503,4,16369503,67.933
C4_16549704,4,16549704,69.452
C4_16575152,4,16575152,68.932
C4_16691183,4,16691183,68.56
C4_16735445,4,16735445,70.018
C4_16947346,4,16947346,71.293
C4_17129502,4,17129502,70.897
C4_17223137,4,17223137,70.648
C4_17272166,4,17272166,71.633
C4_17429322,4,17429322,72.612
C4_17528470,4,17528470,73.088
C4_1752869,4,1752869,26.588
C4_17580715,4,17580715,73.868
C4_17722374,4,17722374,74.394
C4_17911848,4,17911848,75.147
C4_17974540,4,17974540,75.651
C4_18038808,4,18038808,75.37
C4_18134495,4,18134495,75.9
C4_18257315,4,18257315,75.029
C4_18349512,4,18349512,75.863
C4_186773,4,186773,6.618
C4_2025256,4,2025256,26.098
C4_2173404,4,2173404,25.598
C4_224275,4,224275,7.324
C4_2283992,4,2283992,24.952
C4_2323396,4,2323396,29.39
C4_2369230,4,2369230,25.318
C4_2446791,4,2446791,25.116
C4_2501103,4,2501103,25.212
C4_2524250,4,2524250,22.941
C4_262249,4,262249,7.162
C4_2727033,4,2727033,22.447
C4_284743,4,284743,7.735
C4_3312521,4,3312521,18.959
C4_358595,4,358595,7.997
C4_378171,4,378171,8.383
C4_449005,4,449005,9.603
C4_5161831,4,5161831,28.744
C4_5207886,4,5207886,27.375
C4_5318483,4,5318483,28.108
C4_5445002,4,5445002,29.535
C4_5538105,4,5538105,30.322
C4_561220,4,561220,10.582
C4_5616261,4,5616261,30.693
C4_5753372,4,5753372,31.11
C4_5806044,4,5806044,31.302
C4_5953826,4,5953826,33.086
C4_6029451,4,6029451,33.308
C4_6130071,4,6130071,33.539
C4_6210390,4,6210390,34.734
C4_6398172,4,6398172,35.421
C4_6404360,4,6404360,34.186
C4_644179,4,644179,9.937
C4_6477006,4,6477006,33.928
C4_6540032,4,6540032,37.739
C4_6811382,4,6811382,35.801
C4_6836299,4,6836299,38.108
C4_685822,4,685822,11.373
C4_7048455,4,7048455,38.346
C4_7070221,4,7070221,38.657
C4_70965,4,70965,5.985
C4_7128974,4,7128974,38.692
C4_7168420,4,7168420,38.895
C4_7257361,4,7257361,39.202
C4_7435470,4,7435470,39.152
C4_7508040,4,7508040,40.625
C4_7559598,4,7559598,40.886
C4_7590288,4,7590288,41.498
C4_7662714,4,7662714,41.174
C4_778610,4,778610,12.539
C4_7846214,4,7846214,41.78
C4_7920219,4,7920219,42.616
C4_7989009,4,7989009,42.499
C4_8027077,4,8027077,42.333
C4_803483,4,803483,15.31
C4_8184029,4,8184029,43.246
C4_8296688,4,8296688,42.975
C4_8328283,4,8328283,43.111
C4_8440609,4,8440609,42.198
C4_8603815,4,8603815,43.665
C4_8664878,4,8664878,44.589
C4_8732677,4,8732677,44.237
C4_8848473,4,8848473,44.746
C4_8853429,4,8853429,44.985
C4_885880,4,885880,13.651
C4_8950150,4,8950150,45.162
C4_9021081,4,9021081,45.42
C4_9102421,4,9102421,45.538
C4_9107125,4,9107125,45.612
C4_9188408,4,9188408,40.252
C4_9316828,4,9316828,45.693
C4_9410643,4,9410643,45.321
C4_968922,4,968922,14.104
C4_9706831,4,9706831,45.361
C4_9782592,4,9782592,46.82
C4_9950844,4,9950844,47.334
C5_10064271,5,10064271,30.636
C5_10131040,5,10131040,39.487
C5_10286931,5,10286931,39.585
C5_10363930,5,10363930,42.278
C5_10556816,5,10556816,39.09
C5_10742542,5,10742542,41.038
C5_11137211,5,11137211,38.61
C5_11583536,5,11583536,34.443
